titre,fin_semaine_1,boxoffice_1,boxoffice_2,film_id_allocine
Les petits mouchoirs,27/10/2010,1369812,1440674,146632
Mon Cousin,07/10/2020,205217,84145,271832
Batman Begins,22/06/2005,452777,557374,51013
The Quiet Girl,19/04/2023,31800,22400,299438
A Star Is Born,10/10/2018,351307,286268,173109
Stephen King's Doctor Sleep,06/11/2019,147991,73167,242734
Terrifier 2,18/01/2023,34089,19362,285418
La Nonne,26/09/2018,633713,321379,248258
The Lighthouse,01/01/2020,20041,10725,262493
Le Sommet des Dieux,29/09/2021,49532,44121,269946
20 ans d'écart,13/03/2013,433517,407933,209732
Pacifiction - Tourment sur les îles,16/11/2022,19015,12514,280669
Marinaleda,12/07/2023,209,103,316039
Hokusai,03/05/2023,52791,40504,298826
Papicha,16/10/2019,74716,65634,273587
Pour la France,15/02/2023,30866,18379,281971
Elvis,29/06/2022,343596,311924,228681
Eternal Sunshine of the Spotless Mind,13/10/2004,158850,120535,40191
L'Equipier,06/07/2022,2204,471,273983
Mystic River,22/10/2003,310512,270560,34680
L'Art du mensonge,08/01/2020,66229,28120,263277
The Truman Show,18/11/1998,244990,,18671
Sous le sable,14/02/2001,154347,195542,26706
Presque,02/02/2022,151276,124397,284465
Hors Normes,30/10/2019,618775,527710,265905
Les Choses humaines,08/12/2021,89353,50745,285799
Mandibules,02/06/2021,50543,30914,274531
Holy Motors,11/07/2012,61441,40061,195032
L'Assaut,16/03/2011,248721,170661,130964
Le Labyrinthe,15/10/2014,19851,887190,188550
Youssef Salem a du succès,25/01/2023,72216,40003,288266
Source Code,27/04/2011,300899,169589,175053
Les Infiltrés,06/12/2006,616912,383393,55983
Juste La Fin Du Monde,28/09/2016,405031,250496,237510
Lion,01/03/2017,454909,362741,229070
Jack Reacher,02/01/2013,642306,390051,111473
Le Cours de la vie,17/05/2023,38549,26347,299887
Les Enfants des autres,28/09/2022,142402,97702,289898
Un prophète,02/09/2009,333422,223509,110268
Comme un lion,16/01/2013,11888,6399,197429
La Maison,23/11/2022,18262,6401,298953
Babysitting,23/04/2014,550041,485201,222512
BlacKkKlansman - J'ai infiltré le Ku Klux Klan,29/08/2018,407099,268083,258805
Maison de Retraite,23/02/2022,663787,384940,285300
Moonrise Kingdom,23/05/2012,212003,90724,187864
Insidious : Chapitre 2,09/10/2013,168871,120563,203056
The Northman,18/05/2022,137676,91797,278182
Chronique d'une liaison passagère,21/09/2022,119790,82643,290159
Skyscraper,18/07/2018,239014,177813,203842
Incendies,19/01/2011,41570,36566,179349
Qu'est-ce qu'on a fait au Bon Dieu?,23/04/2014,1680249,1734346,222259
Mamma Mia!,17/09/2008,550887,282731,125562
Titane,21/07/2021,88523,57184,277192
Into the Wild,16/01/2008,292739,254896,110101
